name,price,shop,location,link
NYK X9 Vale Cooling Pad 9 Fan for gaming laptop notebook Cooler Kipas,Rp468.000,Click & Go Tokopedia,Bandung,https://www.tokopedia.com/clickandgo/nyk-x9-vale-cooling-pad-9-fan-for-gaming-laptop-notebook-cooler-kipas?extParam=ivf%3Dfalse%26keyword%3Dlaptop+gaming%26search_id%3D202510261741162F2B265625D76A3BCAPF%26src%3Dsearch
NYK X5 PRO Winter Frost Gaming Cooling Pad Cooler Fan Kipas Laptop X-5,Rp343.410,Click & Go Tokopedia,Bandung,https://www.tokopedia.com/clickandgo/nyk-x5-pro-winter-frost-gaming-cooling-pad-cooler-fan-kipas-laptop-x-5-1729813033729557764?extParam=ivf%3Dfalse%26keyword%3Dlaptop+gaming%26search_id%3D202510261741162F2B265625D76A3BCAPF%26src%3Dsearch
Speaker Gaming PC dan Laptop NYK SP-N02,Rp107.000,Starcomp Purwokerto,Kab. Banyumas,https://www.tokopedia.com/starcomppurwokerto/speaker-gaming-pc-dan-laptop-nyk-sp-n02?extParam=ivf%3Dtrue%26keyword%3Dlaptop+gaming%26search_id%3D202510261741162F2B265625D76A3BCAPF%26src%3Dsearch
CoolingPad NYK X6 Thunderstorm Gaming Cooling Pad Laptop 2 Fan X-6 X 6,Rp315.000,Starcomp Purwokerto,Kab. Banyumas,https://www.tokopedia.com/starcomppurwokerto/coolingpad-nyk-x6-thunderstorm-gaming-cooling-pad-laptop-2-fan-x-6-x-6?extParam=ivf%3Dfalse%26keyword%3Dlaptop+gaming%26search_id%3D202510261741162F2B265625D76A3BCAPF%26src%3Dsearch
1%,Rp753.000,Lenovo Legion Store Surabaya,Surabaya,https://www.tokopedia.com/lenovo-legion-store-surabaya/memory-ram-sodimm-12-gb-ddr5-4800-original-new-lenovo-gaming-loq-bisa-untuk-laptop-dan-all-in-one-1731004693531231724?extParam=ivf%3Dfalse%26keyword%3Dlaptop+gaming%26search_id%3D202510261741162F2B265625D76A3BCAPF%26src%3Dsearch
Rexus Gladius GX2 Gaming Pro Gamepad Joystick Laptop PC,Rp175.000,Starcomp Semarang,Semarang,https://www.tokopedia.com/starcomp-semarang/rexus-gladius-gx2-gaming-pro-gamepad-joystick-laptop-pc-hitam-95b39?extParam=ivf%3Dfalse%26keyword%3Dlaptop+gaming%26search_id%3D202510261741162F2B265625D76A3BCAPF%26src%3Dsearch
NYK X6 Thunderstorm Gaming CoolingPad Laptop 2 Fan X-6 X6,Rp325.000,Starcomp Semarang,Semarang,https://www.tokopedia.com/starcomp-semarang/nyk-x6-thunderstorm-gaming-coolingpad-laptop-2-fan-x-6-x6?extParam=ivf%3Dfalse%26keyword%3Dlaptop+gaming%26search_id%3D202510261741162F2B265625D76A3BCAPF%26src%3Dsearch
73%,Rp109.685,Ocean Bike Official,Jakarta Barat,https://www.tokopedia.com/oceanbike/headset-headphone-gaming-power-full-bass-hs04su-mic-3-5mm-earphone-komputer-laptop-pc?extParam=ivf%3Dtrue%26keyword%3Dlaptop+gaming%26search_id%3D202510261741162F2B265625D76A3BCAPF%26src%3Dsearch
Keyboard Gaming and Mouse 8310 | RGB Keyboard and Mouse Gaming for Laptop Komputer PC - 2 in 1 Gaming Set,Rp125.000,MrMaid Store,Jakarta Utara,https://www.tokopedia.com/mrmaidstore/keyboard-gaming-and-mouse-8310-rgb-keyboard-and-mouse-gaming-for-laptop-komputer-pc-2-in-1-gaming-set-white-0fc1b?extParam=ivf%3Dfalse%26keyword%3Dlaptop+gaming%26search_id%3D202510261741162F2B265625D76A3BCAPF%26src%3Dsearch
34%,Rp459.000,Fantech Official Store,Jakarta Barat,https://www.tokopedia.com/fantech-official-store/fantech-carbon-7-1-hg30-headset-gaming-usb-7-1-virtual-surround-sound-mic-noise-cancelling-driver-40-mm-pc-laptop-mac-ps4-ps5-switch-1731357616041067843?extParam=ivf%3Dfalse%26keyword%3Dlaptop+gaming%26search_id%3D202510261741162F2B265625D76A3BCAPF%26src%3Dsearch
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
